"countryname","region","indicator","value"
"germany","Europe","deaths.1000.live.births",3.1
"germany","Europe","years",81.9
"germany","Europe","deaths.100000.live.births",4
"ghana","Africa","deaths.1000.live.births",31.2
"ghana","Africa","years",70.1
"ghana","Africa","deaths.100000.live.births",234
"gibraltar","Europe","deaths.1000.live.births",6
"gibraltar","Europe","years",80.9
"gibraltar","Europe","deaths.100000.live.births",NA
"greece","Europe","deaths.1000.live.births",3.4
"greece","Europe","years",81.9
"greece","Europe","deaths.100000.live.births",5
"greenland","North America","deaths.1000.live.births",8.5
"greenland","North America","years",74.5
"greenland","North America","deaths.100000.live.births",NA
"grenada","Central America and the Caribbean","deaths.1000.live.births",9
"grenada","Central America and the Caribbean","years",76.3
"grenada","Central America and the Caribbean","deaths.100000.live.births",48
"guam","Australia and Oceania","deaths.1000.live.births",10.9
"guam","Australia and Oceania","years",78
"guam","Australia and Oceania","deaths.100000.live.births",NA
"guatemala","Central America and the Caribbean","deaths.1000.live.births",25
"guatemala","Central America and the Caribbean","years",73.5
"guatemala","Central America and the Caribbean","deaths.100000.live.births",94
"guernsey","Europe","deaths.1000.live.births",3.3
"guernsey","Europe","years",83.6
"guernsey","Europe","deaths.100000.live.births",NA
"guinea","Africa","deaths.1000.live.births",47
"guinea","Africa","years",64.6
"guinea","Africa","deaths.100000.live.births",494
"guinea-bissau","Africa","deaths.1000.live.births",46.4
"guinea-bissau","Africa","years",64.5
"guinea-bissau","Africa","deaths.100000.live.births",505
"guyana","South America","deaths.1000.live.births",21.1
"guyana","South America","years",72.4
"guyana","South America","deaths.100000.live.births",75
"haiti","Central America and the Caribbean","deaths.1000.live.births",36.8
"haiti","Central America and the Caribbean","years",65.6
"haiti","Central America and the Caribbean","deaths.100000.live.births",328
"honduras","Central America and the Caribbean","deaths.1000.live.births",15.4
"honduras","Central America and the Caribbean","years",73.1
"honduras","Central America and the Caribbean","deaths.100000.live.births",47
"hong-kong","East and Southeast Asia","deaths.1000.live.births",2.5
"hong-kong","East and Southeast Asia","years",84
"hong-kong","East and Southeast Asia","deaths.100000.live.births",NA
"hungary","Europe","deaths.1000.live.births",4.7
"hungary","Europe","years",76
"hungary","Europe","deaths.100000.live.births",12
"iceland","Europe","deaths.1000.live.births",1.6
"iceland","Europe","years",84
"iceland","Europe","deaths.100000.live.births",3
"india","South Asia","deaths.1000.live.births",30.4
"india","South Asia","years",68.2
"india","South Asia","deaths.100000.live.births",80
"indonesia","East and Southeast Asia","deaths.1000.live.births",18.9
"indonesia","East and Southeast Asia","years",73.6
"indonesia","East and Southeast Asia","deaths.100000.live.births",140
"iran","Middle East","deaths.1000.live.births",14.3
"iran","Middle East","years",75.6
"iran","Middle East","deaths.100000.live.births",16
"iraq","Middle East","deaths.1000.live.births",18.7
"iraq","Middle East","years",73.7
"iraq","Middle East","deaths.100000.live.births",66
"ireland","Europe","deaths.1000.live.births",3.3
"ireland","Europe","years",82
"ireland","Europe","deaths.100000.live.births",4
"isle-of-man","Europe","deaths.1000.live.births",4.1
"isle-of-man","Europe","years",82.5
"isle-of-man","Europe","deaths.100000.live.births",NA
"israel","Middle East","deaths.1000.live.births",2.8
"israel","Middle East","years",83.1
"israel","Middle East","deaths.100000.live.births",2
"italy","Europe","deaths.1000.live.births",3.1
"italy","Europe","years",83
"italy","Europe","deaths.100000.live.births",6
"jamaica","Central America and the Caribbean","deaths.1000.live.births",10.7
"jamaica","Central America and the Caribbean","years",76.3
"jamaica","Central America and the Caribbean","deaths.100000.live.births",130
"japan","East and Southeast Asia","deaths.1000.live.births",1.9
"japan","East and Southeast Asia","years",85.2
"japan","East and Southeast Asia","deaths.100000.live.births",3
"jersey","Europe","deaths.1000.live.births",3.7
"jersey","Europe","years",83
"jersey","Europe","deaths.100000.live.births",NA
"jordan","Middle East","deaths.1000.live.births",13.2
"jordan","Middle East","years",76.5
"jordan","Middle East","deaths.100000.live.births",31
"kazakhstan","Central Asia","deaths.1000.live.births",8
"kazakhstan","Central Asia","years",73.3
"kazakhstan","Central Asia","deaths.100000.live.births",10
"kenya","Africa","deaths.1000.live.births",26.1
"kenya","Africa","years",70.4
"kenya","Africa","deaths.100000.live.births",379
"kiribati","Australia and Oceania","deaths.1000.live.births",31.5
"kiribati","Australia and Oceania","years",68.5
"kiribati","Australia and Oceania","deaths.100000.live.births",80
"korea-north","East and Southeast Asia","deaths.1000.live.births",15.4
"korea-north","East and Southeast Asia","years",73.5
"korea-north","East and Southeast Asia","deaths.100000.live.births",67
"korea-south","East and Southeast Asia","deaths.1000.live.births",2.8
"korea-south","East and Southeast Asia","years",83.4
"korea-south","East and Southeast Asia","deaths.100000.live.births",4
"kosovo","Europe","deaths.1000.live.births",22.9
"kosovo","Europe","years",73.1
"kosovo","Europe","deaths.100000.live.births",NA
"kuwait","Middle East","deaths.1000.live.births",7.2
"kuwait","Middle East","years",79.6
"kuwait","Middle East","deaths.100000.live.births",8
"kyrgyzstan","Central Asia","deaths.1000.live.births",24.5
"kyrgyzstan","Central Asia","years",72.9
"kyrgyzstan","Central Asia","deaths.100000.live.births",42
"laos","East and Southeast Asia","deaths.1000.live.births",35.4
"laos","East and Southeast Asia","years",69
"laos","East and Southeast Asia","deaths.100000.live.births",112
"latvia","Europe","deaths.1000.live.births",4.7
"latvia","Europe","years",76.4
"latvia","Europe","deaths.100000.live.births",19
"lebanon","Middle East","deaths.1000.live.births",6.7
"lebanon","Middle East","years",79.2
"lebanon","Middle East","deaths.100000.live.births",15
"lesotho","Africa","deaths.1000.live.births",45.7
"lesotho","Africa","years",60.2
"lesotho","Africa","deaths.100000.live.births",478
"liberia","Africa","deaths.1000.live.births",55.7
"liberia","Africa","years",61.6
"liberia","Africa","deaths.100000.live.births",628
"libya","Africa","deaths.1000.live.births",10.7
"libya","Africa","years",77.7
"libya","Africa","deaths.100000.live.births",59
"liechtenstein","Europe","deaths.1000.live.births",3.9
"liechtenstein","Europe","years",83
"liechtenstein","Europe","deaths.100000.live.births",NA
"lithuania","Europe","deaths.1000.live.births",3.6
"lithuania","Europe","years",76.1
"lithuania","Europe","deaths.100000.live.births",8
"luxembourg","Europe","deaths.1000.live.births",3.2
"luxembourg","Europe","years",83.4
"luxembourg","Europe","deaths.100000.live.births",12
"macau","East and Southeast Asia","deaths.1000.live.births",4.4
"macau","East and Southeast Asia","years",85.3
"macau","East and Southeast Asia","deaths.100000.live.births",NA
"madagascar","Africa","deaths.1000.live.births",37.5
"madagascar","Africa","years",68.8
"madagascar","Africa","deaths.100000.live.births",445
"malawi","Africa","deaths.1000.live.births",31.9
"malawi","Africa","years",73
"malawi","Africa","deaths.100000.live.births",225
"malaysia","East and Southeast Asia","deaths.1000.live.births",6.4
"malaysia","East and Southeast Asia","years",76.6
"malaysia","East and Southeast Asia","deaths.100000.live.births",26
"maldives","South Asia","deaths.1000.live.births",24.4
"maldives","South Asia","years",77.4
"maldives","South Asia","deaths.100000.live.births",32
"mali","Africa","deaths.1000.live.births",57.4
"mali","Africa","years",63.2
"mali","Africa","deaths.100000.live.births",367
"malta","Europe","deaths.1000.live.births",4.4
"malta","Europe","years",83.6
"malta","Europe","deaths.100000.live.births",8
"marshall-islands","Australia and Oceania","deaths.1000.live.births",20.6
"marshall-islands","Australia and Oceania","years",75.2
"marshall-islands","Australia and Oceania","deaths.100000.live.births",155
"mauritania","Africa","deaths.1000.live.births",48.9
"mauritania","Africa","years",65.9
"mauritania","Africa","deaths.100000.live.births",381
"mauritius","Africa","deaths.1000.live.births",11.6
"mauritius","Africa","years",75.4
"mauritius","Africa","deaths.100000.live.births",66
"mexico","North America","deaths.1000.live.births",12.1
"mexico","North America","years",74.6
"mexico","North America","deaths.100000.live.births",42
"micronesia-federated-states-of","Australia and Oceania","deaths.1000.live.births",20.9
"micronesia-federated-states-of","Australia and Oceania","years",75
"micronesia-federated-states-of","Australia and Oceania","deaths.100000.live.births",129
"moldova","Europe","deaths.1000.live.births",13.8
"moldova","Europe","years",70.1
"moldova","Europe","deaths.100000.live.births",19
"monaco","Europe","deaths.1000.live.births",1.7
"monaco","Europe","years",89.8
"monaco","Europe","deaths.100000.live.births",5
"mongolia","East and Southeast Asia","deaths.1000.live.births",19.4
"mongolia","East and Southeast Asia","years",71.9
"mongolia","East and Southeast Asia","deaths.100000.live.births",41
"montenegro","Europe","deaths.1000.live.births",3.2
"montenegro","Europe","years",78.2
"montenegro","Europe","deaths.100000.live.births",6
"montserrat","Central America and the Caribbean","deaths.1000.live.births",9.7
"montserrat","Central America and the Caribbean","years",76.1
"montserrat","Central America and the Caribbean","deaths.100000.live.births",NA
"morocco","Africa","deaths.1000.live.births",18.3
"morocco","Africa","years",74.2
"morocco","Africa","deaths.100000.live.births",70
"mozambique","Africa","deaths.1000.live.births",58.2
"mozambique","Africa","years",58.3
"mozambique","Africa","deaths.100000.live.births",82
"namibia","Africa","deaths.1000.live.births",27.9
"namibia","Africa","years",65.9
"namibia","Africa","deaths.100000.live.births",139
"nauru","Australia and Oceania","deaths.1000.live.births",7.6
"nauru","Australia and Oceania","years",68.6
"nauru","Australia and Oceania","deaths.100000.live.births",273
"nepal","South Asia","deaths.1000.live.births",24
"nepal","South Asia","years",73
"nepal","South Asia","deaths.100000.live.births",142
"netherlands","Europe","deaths.1000.live.births",3.6
"netherlands","Europe","years",81.9
"netherlands","Europe","deaths.100000.live.births",4
"new-caledonia","Australia and Oceania","deaths.1000.live.births",4.8
"new-caledonia","Australia and Oceania","years",79.3
"new-caledonia","Australia and Oceania","deaths.100000.live.births",NA
"new-zealand","Australia and Oceania","deaths.1000.live.births",3.3
"new-zealand","Australia and Oceania","years",82.9
"new-zealand","Australia and Oceania","deaths.100000.live.births",7
"nicaragua","Central America and the Caribbean","deaths.1000.live.births",14.4
"nicaragua","Central America and the Caribbean","years",74.7
"nicaragua","Central America and the Caribbean","deaths.100000.live.births",60
"niger","Africa","deaths.1000.live.births",64.3
"niger","Africa","years",60.9
"niger","Africa","deaths.100000.live.births",350
"nigeria","Africa","deaths.1000.live.births",53.7
"nigeria","Africa","years",62.2
"nigeria","Africa","deaths.100000.live.births",993
"north-macedonia","Europe","deaths.1000.live.births",7
"north-macedonia","Europe","years",77.3
"north-macedonia","Europe","deaths.100000.live.births",3
"northern-mariana-islands","Australia and Oceania","deaths.1000.live.births",11.9
"northern-mariana-islands","Australia and Oceania","years",77.1
"northern-mariana-islands","Australia and Oceania","deaths.100000.live.births",NA
"norway","Europe","deaths.1000.live.births",1.8
"norway","Europe","years",82.9
"norway","Europe","deaths.100000.live.births",1
"oman","Middle East","deaths.1000.live.births",13.9
"oman","Middle East","years",77.4
"oman","Middle East","deaths.100000.live.births",13
"pakistan","South Asia","deaths.1000.live.births",51.5
"pakistan","South Asia","years",70.3
"pakistan","South Asia","deaths.100000.live.births",155
"palau","Australia and Oceania","deaths.1000.live.births",10.8
"palau","Australia and Oceania","years",75.2
"palau","Australia and Oceania","deaths.100000.live.births",89
"panama","Central America and the Caribbean","deaths.1000.live.births",14.2
"panama","Central America and the Caribbean","years",79.2
"panama","Central America and the Caribbean","deaths.100000.live.births",37
"papua-new-guinea","East and Southeast Asia","deaths.1000.live.births",32
"papua-new-guinea","East and Southeast Asia","years",70.1
"papua-new-guinea","East and Southeast Asia","deaths.100000.live.births",189
"paraguay","South America","deaths.1000.live.births",22
"paraguay","South America","years",78.8
"paraguay","South America","deaths.100000.live.births",58
"peru","South America","deaths.1000.live.births",10.8
"peru","South America","years",68.9
"peru","South America","deaths.100000.live.births",51
"philippines","East and Southeast Asia","deaths.1000.live.births",22
"philippines","East and Southeast Asia","years",70.8
"philippines","East and Southeast Asia","deaths.100000.live.births",84
"poland","Europe","deaths.1000.live.births",4.9
"poland","Europe","years",76.7
"poland","Europe","deaths.100000.live.births",2
"portugal","Europe","deaths.1000.live.births",2.4
"portugal","Europe","years",81.9
"portugal","Europe","deaths.100000.live.births",15
"puerto-rico","Central America and the Caribbean","deaths.1000.live.births",5.8
"puerto-rico","Central America and the Caribbean","years",82.1
"puerto-rico","Central America and the Caribbean","deaths.100000.live.births",11
"qatar","Middle East","deaths.1000.live.births",6.4
"qatar","Middle East","years",80.3
"qatar","Middle East","deaths.100000.live.births",4
"romania","Europe","deaths.1000.live.births",5.5
"romania","Europe","years",76.9
"romania","Europe","deaths.100000.live.births",12
"russia","Central Asia","deaths.1000.live.births",6.5
"russia","Central Asia","years",72.3
"russia","Central Asia","deaths.100000.live.births",9
"rwanda","Africa","deaths.1000.live.births",24.9
"rwanda","Africa","years",66.6
"rwanda","Africa","deaths.100000.live.births",229
"saint-barthelemy","Central America and the Caribbean","deaths.1000.live.births",6.5
"saint-barthelemy","Central America and the Caribbean","years",81
"saint-barthelemy","Central America and the Caribbean","deaths.100000.live.births",NA
"saint-helena-ascension-and-tristan-da-cunha","Africa","deaths.1000.live.births",18.1
"saint-helena-ascension-and-tristan-da-cunha","Africa","years",80.9
"saint-helena-ascension-and-tristan-da-cunha","Africa","deaths.100000.live.births",NA
"saint-kitts-and-nevis","Central America and the Caribbean","deaths.1000.live.births",8
"saint-kitts-and-nevis","Central America and the Caribbean","years",77.6
"saint-kitts-and-nevis","Central America and the Caribbean","deaths.100000.live.births",74
"saint-lucia","Central America and the Caribbean","deaths.1000.live.births",11.5
"saint-lucia","Central America and the Caribbean","years",79.4
"saint-lucia","Central America and the Caribbean","deaths.100000.live.births",44
"saint-martin","Central America and the Caribbean","deaths.1000.live.births",6.5
"saint-martin","Central America and the Caribbean","years",81
"saint-martin","Central America and the Caribbean","deaths.100000.live.births",NA
"saint-pierre-and-miquelon","North America","deaths.1000.live.births",7.8
"saint-pierre-and-miquelon","North America","years",81.8
"saint-pierre-and-miquelon","North America","deaths.100000.live.births",NA
"saint-vincent-and-the-grenadines","Central America and the Caribbean","deaths.1000.live.births",12.3
"saint-vincent-and-the-grenadines","Central America and the Caribbean","years",77.2
"saint-vincent-and-the-grenadines","Central America and the Caribbean","deaths.100000.live.births",56
"samoa","Australia and Oceania","deaths.1000.live.births",17.3
"samoa","Australia and Oceania","years",75.7
"samoa","Australia and Oceania","deaths.100000.live.births",101
"san-marino","Europe","deaths.1000.live.births",6.2
"san-marino","Europe","years",84.2
"san-marino","Europe","deaths.100000.live.births",8
"sao-tome-and-principe","Africa","deaths.1000.live.births",42.6
"sao-tome-and-principe","Africa","years",67.7
"sao-tome-and-principe","Africa","deaths.100000.live.births",75
"saudi-arabia","Middle East","deaths.1000.live.births",11.7
"saudi-arabia","Middle East","years",77.2
"saudi-arabia","Middle East","deaths.100000.live.births",7
"senegal","Africa","deaths.1000.live.births",31.1
"senegal","Africa","years",70.6
"senegal","Africa","deaths.100000.live.births",237
"serbia","Europe","deaths.1000.live.births",4.5
"serbia","Europe","years",75.3
"serbia","Europe","deaths.100000.live.births",11
"seychelles","Africa","deaths.1000.live.births",10.2
"seychelles","Africa","years",76.6
"seychelles","Africa","deaths.100000.live.births",42
"sierra-leone","Africa","deaths.1000.live.births",71.2
"sierra-leone","Africa","years",59.4
"sierra-leone","Africa","deaths.100000.live.births",354
"singapore","East and Southeast Asia","deaths.1000.live.births",1.5
"singapore","East and Southeast Asia","years",86.7
"singapore","East and Southeast Asia","deaths.100000.live.births",6
"sint-maarten","Central America and the Caribbean","deaths.1000.live.births",7.6
"sint-maarten","Central America and the Caribbean","years",79.7
"sint-maarten","Central America and the Caribbean","deaths.100000.live.births",NA
"slovakia","Europe","deaths.1000.live.births",5.1
"slovakia","Europe","years",77.2
"slovakia","Europe","deaths.100000.live.births",4
"slovenia","Europe","deaths.1000.live.births",1.5
"slovenia","Europe","years",82.2
"slovenia","Europe","deaths.100000.live.births",3
"solomon-islands","Australia and Oceania","deaths.1000.live.births",19.1
"solomon-islands","Australia and Oceania","years",77.2
"solomon-islands","Australia and Oceania","deaths.100000.live.births",123
"somalia","Africa","deaths.1000.live.births",83.6
"somalia","Africa","years",56.5
"somalia","Africa","deaths.100000.live.births",563
"south-africa","Africa","deaths.1000.live.births",21.9
"south-africa","Africa","years",71.9
"south-africa","Africa","deaths.100000.live.births",118
"south-sudan","Africa","deaths.1000.live.births",60.1
"south-sudan","Africa","years",60.3
"south-sudan","Africa","deaths.100000.live.births",692
"spain","Europe","deaths.1000.live.births",2.4
"spain","Europe","years",83
"spain","Europe","deaths.100000.live.births",3
"sri-lanka","South Asia","deaths.1000.live.births",6.8
"sri-lanka","South Asia","years",76.8
"sri-lanka","South Asia","deaths.100000.live.births",18
"sudan","Africa","deaths.1000.live.births",40.6
"sudan","Africa","years",67.8
"sudan","Africa","deaths.100000.live.births",256
"suriname","South America","deaths.1000.live.births",29.6
"suriname","South America","years",72.7
"suriname","South America","deaths.100000.live.births",84
"sweden","Europe","deaths.1000.live.births",2.3
"sweden","Europe","years",82.9
"sweden","Europe","deaths.100000.live.births",4
"switzerland","Europe","deaths.1000.live.births",3
"switzerland","Europe","years",83.9
"switzerland","Europe","deaths.100000.live.births",5
"syria","Middle East","deaths.1000.live.births",15.1
"syria","Middle East","years",74.8
"syria","Middle East","deaths.100000.live.births",20
